,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
0,summer squash salad,salad,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",veg,fiber, goitre obesity hypertension diabeties, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet high_protien_diet,275
1,chicken minced salad,salad,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",non-veg,fiber, goitre rickets obesity hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,295
2,sweet chilli almonds,chilli,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder",veg,vitamin_a, heart_disease scurvy hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet paleo_diet alkaline_diet low_sodium_diet low_fat_diet Mediterranean_diet high_protien_diet,245
3,tricolour salad,salad,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",veg,fiber, goitre obesity hypertension, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet high_protien_diet,285
4,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, kidney_disease goitre, high_protien_diet,480
5,japanese curry arancini with  barley salsa,barley,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",veg,calcium, goitre, high_fiber_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,515
6,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,540
7,lamb and chargrilled bell pepper soup,soup,"lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive",non-veg,sodium, scurvy obesity kidney_disease goitre pregnancy, alkaline_diet,425
8,cream of almond soup,soup,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",veg,calcium, obesity cancer hypertension, ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,380
9,broccoli and almond soup,soup,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",veg,vitamin_c, scurvy obesity diabeties hypertension pregnancy, dash_diet ketogenic_diet alkaline_diet gluten_free_diet vegan_diet high_protien_diet,310
10,coconut lime quinoa salad,salad,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil",veg,fiber, scurvy obesity hypertension goitre pregnancy, dash_diet high_fiber_diet paleo_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,530
11,lemon honey glazed sous vide corn on the cob,corn,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",non-veg,protien, scurvy goitre diabeties, dash_diet gluten_free_diet low_fat_diet high_protien_diet,610
12,watermelon and strawberry smoothie,smoothie,"fresh strawberries, honey, low fat yogurt, watermelon, chia seeds",veg,magnesium, scurvy, high_fiber_diet high_protien_diet,215
13,"peach, raspberry and nuts smoothie",smoothie,"fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, fresh raspeberry, peach fruit slices, almonds",veg,vitamin_e, heart_disease obesity cancer diabeties kidney_disease anemia, high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet gluten_free_diet vegan_diet omni_diet,490
14,almond and cranberry poha,poha,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",veg,iron, hypertension, gluten_free_diet low_fat_diet vegan_diet high_fiber_diet,510
15,almond and raw banana galawat,banana,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, heart_disease scurvy cancer diabeties hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,310
16,baked namakpara with roasted almond dip,dip,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",veg,calcium, kidney_disease goitre hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,580
17,grilled almond barfi (sugar free),barfi,"khoya, sweetener (optional), almonds (crushed)",veg,calcium, goitre hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,650
18,baked shankarpali recipe,shankarpali,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee",veg,carbohydrates, goitre diabeties, high_fiber_diet alkaline_diet low_sodium_diet low_fat_diet high_protien_diet,635
