Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
meal_id1,summer squash salad,salad,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",veg,fiber, obesity diabeties hypertension goitre, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,485
meal_id2,chicken minced salad,salad,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",non-veg,fiber, anemia pregnancy hypertension rickets goitre kidney_disease obesity, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,600
meal_id3,sweet chilli almonds,chilli,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder",veg,vitamin_a, hypertension scurvy heart_disease goitre kidney_disease pregnancy, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,255
meal_id4,tricolour salad,salad,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",veg,fiber, obesity goitre hypertension, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,615
meal_id5,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, goitre kidney_disease, high_protien_diet,465
meal_id6,japanese curry arancini with  barley salsa,barley,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",veg,calcium, goitre, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,630
meal_id7,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,475
meal_id8,lamb and chargrilled bell pepper soup,soup,"lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive",non-veg,sodium, pregnancy scurvy goitre kidney_disease obesity, alkaline_diet,340
meal_id9,cream of almond soup,soup,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",veg,calcium, obesity cancer hypertension, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,290
meal_id10,broccoli and almond soup,soup,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",veg,vitamin_c, pregnancy hypertension scurvy obesity diabeties, alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet,515
meal_id11,coconut lime quinoa salad,salad,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil",veg,fiber, pregnancy hypertension scurvy goitre obesity, alkaline_diet low_fat_diet paleo_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,540
meal_id12,lemon honey glazed sous vide corn on the cob,corn,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",non-veg,protien, diabeties goitre scurvy, low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet,310
meal_id13,watermelon and strawberry smoothie,smoothie,"fresh strawberries, honey, low fat yogurt, watermelon, chia seeds",veg,magnesium, scurvy, high_protien_diet high_fiber_diet,475
meal_id14,"peach, raspberry and nuts smoothie",smoothie,"fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, fresh raspeberry, peach fruit slices, almonds",veg,vitamin_e, anemia cancer heart_disease kidney_disease obesity diabeties, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet,585
meal_id15,almond and cranberry poha,poha,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",veg,iron, hypertension, gluten_free_diet vegan_diet low_fat_diet high_fiber_diet,445
meal_id16,almond and raw banana galawat,banana,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, anemia hypertension cancer scurvy heart_disease kidney_disease diabeties, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,395
